Left,Right
Baylor Bears,Oklahoma State Cowboys
Seton Hall Pirates,Providence Friars
Eastern Michigan Eagles,Akron Zips
Ball State Cardinals,Bowling Green Falcons
South Florida Bulls,Cincinnati Bearcats
Saint Louis Billikens,Fordham Rams
Kentucky Wildcats,Georgia Bulldogs
Southern Illinois Salukis,Illinois State Redbirds
Kent State Golden Flashes,Ohio Bobcats
Rutgers Scarlet Knights,Purdue Boilermakers
Miami (OH) RedHawks,Toledo Rockets
Morgan State Bears,Howard Bison
Valparaiso Crusaders,Loyola Chicago Ramblers
Central Michigan Chippewas,Northern Illinois Huskies
Marquette Golden Eagles,Georgetown Hoyas
Nevada Wolf Pack,Boise State Broncos
LSU Tigers,Ole Miss Rebels
Davidson Wildcats,Saint Joseph's Hawks
New Mexico Lobos,San Diego State Aztecs
St. Bonaventure Bonnies,Rhode Island Rams
Colgate Raiders,Army West Point Black Knights
North Alabama Lions,Jacksonville Dolphins
Navy Midshipmen,Lafayette Leopards
American University Eagles,Lehigh Mountain Hawks
Boston University Terriers,Loyola Maryland Greyhounds
Hartford Hawks,Maine Black Bears
George Mason Patriots,Massachusetts Minutemen
Binghamton Bearcats,UMBC Retrievers
Campbell Fighting Camels,UNC Asheville Bulldogs
Vermont Catamounts,New Hampshire Wildcats
Iowa Hawkeyes,Penn State Nittany Lions
Hampton Pirates,Presbyterian Blue Hose
Duquesne Dukes,Richmond Spiders
North Florida Ospreys,Stetson Hatters
Auburn Tigers,Texas A&M Aggies
Longwood Lancers,Winthrop Eagles
USC Upstate Spartans,High Point Panthers
Lipscomb Bisons,NJIT Highlanders
Liberty Flames,Kennesaw State Owls
Albany Great Danes,Massachusetts-Lowell River Hawks
Nicholls Colonels,McNeese State Cowboys
Texas A&M-Corpus Christi Islanders,Sam Houston State Bearkats
Houston Baptist Huskies,Abilene Christian Wildcats
Drake Bulldogs,Bradley Braves
George Washington Colonials,La Salle Explorers
Stephen F. Austin Lumberjacks,New Orleans Privateers
Indiana State Sycamores,UNI Panthers
Lamar Cardinals,Southeastern Louisiana Lions
Evansville Aces,Missouri State Bears
Dayton Flyers,VCU Rams
South Dakota State Jackrabbits,North Dakota Fighting Hawks
Central Arkansas Bears,UIW Cardinals
Butler Bulldogs,DePaul Blue Demons
North Dakota State Bison,Denver Pioneers
Long Beach State 49ers,UC Irvine Anteaters
Utah State Aggies,San Jose State Spartans
UCF Knights,Wichita State Shockers
UNLV Runnin' Rebels,Air Force Falcons
Northern Kentucky Norse,Cleveland State Vikings
James Madison Dukes,Delaware Fightin' Blue Hens
Towson Tigers,Drexel Dragons
VMI Keydets,East Tennessee State Buccaneers
UNCW Seahawks,Hofstra Pride
Florida Atlantic Owls,Marshall Thundering Herd
Fairfield Stags,Monmouth Hawks
Southern Miss Golden Eagles,Charlotte 49ers
Charleston Cougars,Northeastern Huskies
Louisiana Tech Bulldogs,Old Dominion Monarchs
Niagara Purple Eagles,Siena Saints
Manhattan Jaspers,Saint Peter's Peacocks
Tennessee State Tigers,Tennessee Tech Golden Eagles
Georgia Southern Eagles,Troy Trojans
Wright State Raiders,Youngstown State Penguins
Canisius Golden Griffins,Quinnipiac Bobcats
UT Martin Skyhawks,Eastern Kentucky Colonels
UTSA Roadrunners,Middle Tennessee Blue Raiders
Citadel Bulldogs,Samford Bulldogs
UNCG Spartans,Western Carolina Catamounts
Southeast Missouri State Redhawks,Morehead State Eagles
Murray State Racers,Eastern Illinois Panthers
South Dakota Coyotes,Oral Roberts Golden Eagles
Georgia State Panthers,South Alabama Jaguars
Little Rock Trojans,Texas State Bobcats
Mercer Bears,Chattanooga Mocs
Arkansas State Red Wolves,UT Arlington Mavericks
Omaha Mavericks,Western Illinois Leathernecks
FIU Golden Panthers,Western Kentucky Hilltoppers
IUPUI Jaguars,Green Bay Phoenix
UIC Flames,Milwaukee Panthers
Belmont Bruins,Jacksonville State Gamecocks
Sacramento State Hornets,Northern Arizona Lumberjacks
Portland State Vikings,Southern Utah Thunderbirds
Austin Peay Governors,SIUE Cougars
Chicago State Cougars,Grand Canyon Antelopes
San Francisco Dons,Pacific Tigers
Gardner-Webb Runnin' Bulldogs,Radford Highlanders
Idaho State Bengals,Weber State Wildcats
UT Rio Grande Valley Vaqueros,Utah Valley Wolverines
Oregon State Beavers,Arizona State Sun Devils
UC Santa Barbara Gauchos,UC Davis Aggies
UC Riverside Highlanders,Cal State Fullerton Titans
Hawaii Rainbow Warriors,CSUN Matadors
San Diego Toreros,Portland Pilots
New Mexico State Aggies,Seattle Redhawks
UMKC Kangaroos,Bakersfield Roadrunners
BYU Cougars,Pepperdine Waves
Santa Clara Broncos,Saint Mary's Gaels
Marist Red Foxes,Iona Gaels
Northwestern Wildcats,Rutgers Scarlet Knights
Saint Joseph's Hawks,Saint Louis Billikens
Ohio Bobcats,Toledo Rockets
Bucknell Bison,Lehigh Mountain Hawks
UNCW Seahawks,Northeastern Huskies
Loyola Maryland Greyhounds,Holy Cross Crusaders
Richmond Spiders,Davidson Wildcats
Colgate Raiders,Boston University Terriers
Wright State Raiders,Cleveland State Vikings
Canisius Golden Griffins,Fairfield Stags
Stony Brook Seawolves,Maine Black Bears
Albany Great Danes,UMBC Retrievers
Binghamton Bearcats,Vermont Catamounts
Western Carolina Catamounts,VMI Keydets
UIC Flames,Green Bay Phoenix
Northern Kentucky Norse,Youngstown State Penguins
Columbia Lions,Cornell Big Red
Lafayette Leopards,American University Eagles
Appalachian State Mountaineers,Coastal Carolina Chanticleers
Oakland Golden Grizzlies,Detroit Titans
James Madison Dukes,Drexel Dragons
Illinois State Redbirds,Evansville Aces
Massachusetts-Lowell River Hawks,Hartford Hawks
Loyola Chicago Ramblers,Indiana State Sycamores
Niagara Purple Eagles,Quinnipiac Bobcats
Navy Midshipmen,Army West Point Black Knights
Western Michigan Broncos,Bowling Green Falcons
Northern Illinois Huskies,Kent State Golden Flashes
Rhode Island Rams,La Salle Explorers
Southeastern Louisiana Lions,McNeese State Cowboys
Louisiana Ragin' Cajuns,Louisiana-Monroe Warhawks
Mercer Bears,Samford Bulldogs
Sacramento State Hornets,Southern Utah Thunderbirds
Little Rock Trojans,UT Arlington Mavericks
Georgia State Panthers,Troy Trojans
North Dakota Fighting Hawks,North Dakota State Bison
Yale Bulldogs,Brown Bears
Saint Francis U Red Flash,Central Connecticut State Blue Devils
Akron Zips,Miami (OH) RedHawks
UNCG Spartans,East Tennessee State Buccaneers
Charleston Cougars,Hofstra Pride
TCU Horned Frogs,Kansas State Wildcats
Pepperdine Waves,Loyola Marymount Lions
Portland State Vikings,Northern Arizona Lumberjacks
Longwood Lancers,Presbyterian Blue Hose
Georgia Southern Eagles,South Alabama Jaguars
Sacred Heart Pioneers,St. Francis Brooklyn Terriers
UNI Panthers,Valparaiso Crusaders
Mount St. Mary's Mountaineers,Wagner Seahawks
Elon Phoenix,William & Mary Tribe
Jacksonville Dolphins,NJIT Highlanders
Robert Morris Colonials,Bryant Bulldogs
Morgan State Bears,North Carolina A&T Aggies
Stephen F. Austin Lumberjacks,UIW Cardinals
Austin Peay Governors,Eastern Illinois Panthers
Maryland Eastern Shore Hawks,Florida A&M Rattlers
St. John's Red Storm,Butler Bulldogs
Ball State Cardinals,Central Michigan Chippewas
Fairleigh Dickinson Knights,LIU Brooklyn Blackbirds
Dayton Flyers,St. Bonaventure Bonnies
Citadel Bulldogs,Chattanooga Mocs
Winthrop Eagles,USC Upstate Spartans
Stetson Hatters,North Alabama Lions
FGCU Eagles,Kennesaw State Owls
Delaware State Hornets,Bethune-Cookman Wildcats
Coppin State Eagles,North Carolina Central Eagles
Radford Highlanders,UNC Asheville Bulldogs
Arkansas State Red Wolves,Texas State Bobcats
California Golden Bears,Washington Huskies
Montana State Bobcats,Eastern Washington Eagles
Howard Bison,South Carolina State Bulldogs
Fresno State Bulldogs,Boise State Broncos
Campbell Fighting Camels,Charleston Southern Buccaneers
Nicholls Colonels,Central Arkansas Bears
Wyoming Cowboys,New Mexico Lobos
UC Irvine Anteaters,CSUN Matadors
Jackson State Tigers,Prairie View A&M Panthers
Alabama State Hornets,Alabama A&M Bulldogs
New Orleans Privateers,Texas A&M-Corpus Christi Islanders
Norfolk State Spartans,Savannah State Tigers
Mississippi Valley State Delta Devils,Alcorn State Braves
Massachusetts Minutemen,VCU Rams
UT Martin Skyhawks,Morehead State Eagles
Tennessee State Tigers,Belmont Bruins
UAPB Golden Lions,Southern University Jaguars
Northwestern State Demons,Abilene Christian Wildcats
Towson Tigers,Delaware Fightin' Blue Hens
Southeast Missouri State Redhawks,Eastern Kentucky Colonels
Fordham Rams,George Mason Patriots
North Florida Ospreys,Liberty Flames
Manhattan Jaspers,Rider Broncs
IUPUI Jaguars,Milwaukee Panthers
Furman Paladins,Wofford Terriers
Hampton Pirates,Gardner-Webb Runnin' Bulldogs
San Jose State Spartans,UNLV Runnin' Rebels
Cal Poly Mustangs,UC Davis Aggies
Sam Houston State Bearkats,Houston Baptist Huskies
Purdue Fort Wayne Mastodons,Western Illinois Leathernecks
Murray State Racers,SIUE Cougars
Hawaii Rainbow Warriors,UC Riverside Highlanders
Tennessee Tech Golden Eagles,Jacksonville State Gamecocks
UMKC Kangaroos,Grand Canyon Antelopes
San Diego Toreros,Saint Mary's Gaels
Colorado State Rams,Utah State Aggies
Northern Colorado Bears,Weber State Wildcats
New Mexico State Aggies,Utah Valley Wolverines
Grambling State Tigers,Texas Southern Tigers
Montana Grizzlies,Idaho Vandals
Cal State Fullerton Titans,Long Beach State 49ers
Santa Clara Broncos,Pacific Tigers
UT Rio Grande Valley Vaqueros,Seattle Redhawks
Chicago State Cougars,Bakersfield Roadrunners
BYU Cougars,San Francisco Dons
Iona Gaels,Monmouth Hawks
Missouri State Bears,Drake Bulldogs
Duquesne Dukes,George Washington Colonials
Bradley Braves,Southern Illinois Salukis
Oral Roberts Golden Eagles,Denver Pioneers
South Dakota Coyotes,Omaha Mavericks
Harvard Crimson,Howard Bison
Mount St. Mary's Mountaineers,Fairleigh Dickinson Knights
UNC Asheville Bulldogs,Winthrop Eagles
St. Francis Brooklyn Terriers,LIU Brooklyn Blackbirds
Robert Morris Colonials,Central Connecticut State Blue Devils
Wagner Seahawks,Sacred Heart Pioneers
Presbyterian Blue Hose,USC Upstate Spartans
Maryland Eastern Shore Hawks,Bethune-Cookman Wildcats
Morgan State Bears,North Carolina Central Eagles
Delaware State Hornets,Florida A&M Rattlers
Saint Francis U Red Flash,Bryant Bulldogs
American University Eagles,Boston University Terriers
North Alabama Lions,Liberty Flames
Marist Red Foxes,Manhattan Jaspers
NJIT Highlanders,North Florida Ospreys
Grambling State Tigers,Prairie View A&M Panthers
Jackson State Tigers,Texas Southern Tigers
Radford Highlanders,Longwood Lancers
Stetson Hatters,FGCU Eagles
Kennesaw State Owls,Lipscomb Bisons
Coppin State Eagles,North Carolina A&T Aggies
Norfolk State Spartans,South Carolina State Bulldogs
UAPB Golden Lions,Alcorn State Braves
Mississippi Valley State Delta Devils,Southern University Jaguars
Northern Colorado Bears,Idaho State Bengals
Central Michigan Chippewas,Akron Zips
Miami (OH) RedHawks,Ball State Cardinals
Bowling Green Falcons,Eastern Michigan Eagles
Toledo Rockets,Kent State Golden Flashes
Western Michigan Broncos,Ohio Bobcats
Saint Peter's Peacocks,Niagara Purple Eagles
Boise State Broncos,Air Force Falcons
New Mexico Lobos,UNLV Runnin' Rebels
San Diego State Aztecs,Fresno State Bulldogs
American University Eagles,Boston University Terriers
Holy Cross Crusaders,Army West Point Black Knights
Illinois State Redbirds,Bradley Braves
Loyola Maryland Greyhounds,Bucknell Bison
Lafayette Leopards,Colgate Raiders
George Washington Colonials,Davidson Wildcats
George Mason Patriots,Dayton Flyers
La Salle Explorers,Fordham Rams
New Hampshire Wildcats,Hartford Hawks
Valparaiso Crusaders,Indiana State Sycamores
St. Bonaventure Bonnies,Massachusetts Minutemen
Lehigh Mountain Hawks,Navy Midshipmen
VCU Rams,Rhode Island Rams
Richmond Spiders,Saint Joseph's Hawks
UMBC Retrievers,Vermont Catamounts
Stony Brook Seawolves,Albany Great Danes
Massachusetts-Lowell River Hawks,Binghamton Bearcats
Sam Houston State Bearkats,Northwestern State Demons
Abilene Christian Wildcats,Stephen F. Austin Lumberjacks
Evansville Aces,Drake Bulldogs
Saint Louis Billikens,Duquesne Dukes
Southeastern Louisiana Lions,Houston Baptist Huskies
UIW Cardinals,Lamar Cardinals
UNI Panthers,Southern Illinois Salukis
Nicholls Colonels,Texas A&M-Corpus Christi Islanders
New Orleans Privateers,Central Arkansas Bears
South Dakota Coyotes,North Dakota Fighting Hawks
Loyola Chicago Ramblers,Missouri State Bears
San Jose State Spartans,Wyoming Cowboys
UC Riverside Highlanders,Cal Poly Mustangs
Long Beach State 49ers,CSUN Matadors
UC Irvine Anteaters,Hawaii Rainbow Warriors
Oakland Golden Grizzlies,IUPUI Jaguars
Presbyterian Blue Hose,Campbell Fighting Camels
Monmouth Hawks,Canisius Golden Griffins
Elon Phoenix,Charleston Cougars
St. Francis Brooklyn Terriers,Fairleigh Dickinson Knights
Siena Saints,Fairfield Stags
Chattanooga Mocs,Furman Paladins
UT Arlington Mavericks,Georgia Southern Eagles
Texas State Bobcats,Georgia State Panthers
Hofstra Pride,James Madison Dukes
Utah Valley Wolverines,UMKC Kangaroos
LIU Brooklyn Blackbirds,Mount St. Mary's Mountaineers
Citadel Bulldogs,UNCG Spartans
William & Mary Tribe,UNCW Seahawks
Jacksonville Dolphins,North Florida Ospreys
Charleston Southern Buccaneers,Radford Highlanders
Sacred Heart Pioneers,Robert Morris Colonials
Wagner Seahawks,Saint Francis U Red Flash
NJIT Highlanders,Stetson Hatters
Northeastern Huskies,Towson Tigers
Gardner-Webb Runnin' Bulldogs,Winthrop Eagles
Samford Bulldogs,Wofford Terriers
Milwaukee Panthers,Wright State Raiders
USC Upstate Spartans,Hampton Pirates
High Point Panthers,Longwood Lancers
Kennesaw State Owls,North Alabama Lions
Green Bay Phoenix,Northern Kentucky Norse
Central Connecticut State Blue Devils,Bryant Bulldogs
Coastal Carolina Chanticleers,Little Rock Trojans
Jacksonville State Gamecocks,Eastern Kentucky Colonels
VMI Keydets,Mercer Bears
Omaha Mavericks,Purdue Fort Wayne Mastodons
FGCU Eagles,Lipscomb Bisons
Tennessee Tech Golden Eagles,Morehead State Eagles
Appalachian State Mountaineers,Arkansas State Red Wolves
Detroit Titans,UIC Flames
Troy Trojans,Louisiana-Monroe Warhawks
South Alabama Jaguars,Louisiana Ragin' Cajuns
North Dakota State Bison,South Dakota State Jackrabbits
Seattle Redhawks,Chicago State Cougars
Eastern Illinois Panthers,UT Martin Skyhawks
SIUE Cougars,Southeast Missouri State Redhawks
Tennessee State Tigers,Austin Peay Governors
Idaho State Bengals,Montana Grizzlies
Weber State Wildcats,Montana State Bobcats
Belmont Bruins,Murray State Racers
Southern Utah Thunderbirds,Northern Colorado Bears
UC Santa Barbara Gauchos,Cal State Fullerton Titans
Loyola Marymount Lions,San Diego Toreros
Portland Pilots,San Francisco Dons
Bakersfield Roadrunners,California Baptist Lancers
Idaho Vandals,Sacramento State Hornets
Eastern Washington Eagles,Portland State Vikings
Saint Mary's Gaels,BYU Cougars
Rider Broncs,Iona Gaels
Quinnipiac Bobcats,Marist Red Foxes
Brown Bears,Yale Bulldogs
Colgate Raiders,Loyola Maryland Greyhounds
LIU Brooklyn Blackbirds,Central Connecticut State Blue Devils
VMI Keydets,Citadel Bulldogs
UT Arlington Mavericks,Georgia State Panthers
UMBC Retrievers,New Hampshire Wildcats
Detroit Titans,IUPUI Jaguars
Maine Black Bears,Binghamton Bearcats
Drexel Dragons,Delaware Fightin' Blue Hens
VCU Rams,Duquesne Dukes
Dayton Flyers,Fordham Rams
Dartmouth Big Green,Harvard Crimson
Army West Point Black Knights,Lafayette Leopards
Boston University Terriers,Lehigh Mountain Hawks
Ball State Cardinals,Ohio Bobcats
Davidson Wildcats,Saint Louis Billikens
Hofstra Pride,Towson Tigers
Eastern Michigan Eagles,Western Michigan Broncos
South Alabama Jaguars,Louisiana-Monroe Warhawks
Monmouth Hawks,Niagara Purple Eagles
Hartford Hawks,Albany Great Danes
Utah Valley Wolverines,Chicago State Cougars
Navy Midshipmen,Holy Cross Crusaders
Bowling Green Falcons,Miami (OH) RedHawks
Jacksonville State Gamecocks,Morehead State Eagles
Bucknell Bison,American University Eagles
Appalachian State Mountaineers,Little Rock Trojans
Wyoming Cowboys,Boise State Broncos
William & Mary Tribe,Charleston Cougars
Fresno State Bulldogs,Colorado State Rams
Delaware State Hornets,Howard Bison
Northeastern Huskies,James Madison Dukes
Idaho State Bengals,Montana State Bobcats
Bethune-Cookman Wildcats,Morgan State Bears
Elon Phoenix,UNCW Seahawks
Utah State Aggies,New Mexico Lobos
Portland Pilots,Pacific Tigers
Winthrop Eagles,Presbyterian Blue Hose
Bradley Braves,Missouri State Bears
New Orleans Privateers,UIW Cardinals
Fairleigh Dickinson Knights,Bryant Bulldogs
Oakland Golden Grizzlies,UIC Flames
Southeastern Louisiana Lions,Northwestern State Demons
Central Arkansas Bears,Abilene Christian Wildcats
Samford Bulldogs,Furman Paladins
Western Illinois Leathernecks,South Dakota Coyotes
Florida A&M Rattlers,Coppin State Eagles
North Carolina A&T Aggies,North Carolina Central Eagles
SIUE Cougars,UT Martin Skyhawks
Longwood Lancers,USC Upstate Spartans
Belmont Bruins,Austin Peay Governors
Houston Baptist Huskies,McNeese State Cowboys
Northern Illinois Huskies,Akron Zips
Coastal Carolina Chanticleers,Arkansas State Red Wolves
Texas State Bobcats,Georgia Southern Eagles
St. Francis Brooklyn Terriers,Mount St. Mary's Mountaineers
Mercer Bears,UNCG Spartans
Wagner Seahawks,Robert Morris Colonials
Omaha Mavericks,South Dakota State Jackrabbits
Gardner-Webb Runnin' Bulldogs,Charleston Southern Buccaneers
Eastern Illinois Panthers,Southeast Missouri State Redhawks
Prairie View A&M Panthers,Mississippi Valley State Delta Devils
Jackson State Tigers,Grambling State Tigers
St. Bonaventure Bonnies,Richmond Spiders
Alcorn State Braves,Alabama State Hornets
South Carolina State Bulldogs,Savannah State Tigers
Maryland Eastern Shore Hawks,Norfolk State Spartans
Lamar Cardinals,Sam Houston State Bearkats
